Cluster,SilhouetteMean,DB_Component,WCSS_i,DunnLike,Size
Cluster 1,0.07984726876020432,3.209499424576292,9.581767082214355,0.32535959035713863,21
Cluster 2,0.001301738666370511,3.5556205169931903,12.593417167663574,0.31161090628648247,22
Cluster 3,-0.005349816754460335,3.5556205169931903,8.049517631530762,0.31161090628648247,15
Cluster 4,0.046979788690805435,3.352637425645145,6.793647766113281,0.31743874345335343,14
Cluster 5,0.02948828600347042,2.768855332180521,4.250484466552734,0.39911360132024964,8
Cluster 6,0.0661669373512268,3.161962258415969,8.730899810791016,0.3458524789443521,17
